0.456646   0   0.0890399   0   
0.502985   0.0463381   0.0936191   0.00457916   
0.476028   0.0379788   0.0876198   0.00655601   
0.496012   0.0334746   0.0889464   0.00482189   
0.495708   0.0259311   0.0867139   0.00435138   
0.492961   0.0213501   0.0852591   0.00383921   
0.495493   0.0182208   0.0840464   0.00346394   
0.494858   0.0157924   0.0847467   0.00308054   
0.501828   0.0155744   0.0836774   0.00291966   
0.506394   0.0146595   0.0834513   0.0026212   
0.50445   0.0134017   0.0846859   0.00267318   
0.50699   0.0124948   0.0848619   0.00244661   
0.506744   0.0114962   0.085203   0.00227625   
0.507175   0.0106521   0.0846059   0.00219036   
0.505479   0.0100606   0.0845063   0.00204154   
0.508615   0.00991954   0.0850369   0.00198202   
0.50896   0.00932417   0.0842032   0.00203993   
0.507601   0.00889531   0.0845239   0.00194982   
0.507688   0.00841457   0.0843695   0.0018508   
0.505419   0.008299   0.0850092   0.00186871   
0.504399   0.00795949   0.0848088   0.00178875   
0.503605   0.00763052   0.0846183   0.00171612   
0.502794   0.00733614   0.0845317   0.00164209   
0.503193   0.00703511   0.0845532   0.00157233   
0.504293   0.00683692   0.0846485   0.00151113   
0.504593   0.00657556   0.0842996   0.00149318   
0.505569   0.00640214   0.0845109   0.00145227   
0.505949   0.00618093   0.0843018   0.00141498   
0.506554   0.00599457   0.08408   0.00138322   
0.506531   0.00579135   0.0842106   0.00134268   
0.505764   0.00565359   0.0842668   0.00129986   
0.504886   0.00554407   0.084554   0.00129094   
0.506219   0.00553623   0.0846628   0.00125593   
0.504607   0.00560763   0.0849451   0.00125072   
0.504065   0.00547199   0.0846711   0.001245   
0.503789   0.00532493   0.0846966   0.00121019   
0.504829   0.00528224   0.0845736   0.00118344   
0.504561   0.0051483   0.0845633   0.00115192   
0.504497   0.00501497   0.0844152   0.00113172   
0.50366   0.00495924   0.0845043   0.00110666   
0.503773   0.0048381   0.0842218   0.00111568   
0.503827   0.00472181   0.0841498   0.00109117   
0.503878   0.00461097   0.0839102   0.00109211   
0.503199   0.00455578   0.0840134   0.00107198   
0.50301   0.00445741   0.0839672   0.0010489   
0.502786   0.00436517   0.0840125   0.00102685   
0.502452   0.00428434   0.0840238   0.00100483   
0.502301   0.00419685   0.0840943   0.000986187   
0.502522   0.00411626   0.0842817   0.000983866   
0.502191   0.00404667   0.0843446   0.000966037   
0.502344   0.0039695   0.0843382   0.000946927   
0.501825   0.00392692   0.0843677   0.000929009   
0.502225   0.00387284   0.0843662   0.000911313   
0.501589   0.00385337   0.0845159   0.000906718   
0.501251   0.00379767   0.0844388   0.000893411   
0.50102   0.00373638   0.0845669   0.000886616   
0.501545   0.00370761   0.0847403   0.000888012   
0.501032   0.00367909   0.0845299   0.000897568   
0.500675   0.00363382   0.0844288   0.000888002   
0.500854   0.00357725   0.0846083   0.00089135   
0.499879   0.00365093   0.0845961   0.000876702   
0.500704   0.00368513   0.08464   0.000863561   
0.500697   0.00362617   0.0846889   0.000851152   
0.500935   0.00357699   0.0843653   0.000898092   
0.501261   0.00353661   0.0844116   0.000885383   
0.50124   0.00348267   0.0844199   0.000871904   
0.502142   0.00354668   0.0847117   0.000907034   
0.501995   0.0034972   0.0847493   0.000894385   
0.502403   0.00347014   0.08473   0.00088154   
0.503536   0.00360314   0.0846445   0.000873047   
0.503753   0.00355866   0.0845463   0.000866254   
0.503759   0.0035089   0.0845911   0.000855315   
0.50398   0.00346755   0.0845472   0.000844661   
0.50309   0.00353417   0.0845119   0.000833916   
0.503112   0.0034868   0.0843866   0.000832197   
0.50356   0.00346965   0.0843506   0.000821964   
0.503015   0.0034674   0.0841446   0.000836971   
0.50354   0.00346261   0.0840398   0.000832796   
0.503935   0.00344122   0.0841207   0.000826162   
0.504052   0.00339997   0.084177   0.000817712   
0.504752   0.00342994   0.0841929   0.000807709   
0.505084   0.00340408   0.0841294   0.00080032   
0.504825   0.00337282   0.0841484   0.000790845   
0.504764   0.00333299   0.0841147   0.000782098   
0.504186   0.00334381   0.0839629   0.000787609   
0.504168   0.00330475   0.083994   0.000779017   
0.504057   0.00326843   0.0838782   0.000778673   
0.503582   0.00326578   0.0837091   0.000788127   
0.503382   0.00323504   0.0834739   0.000813925   
0.503583   0.00320521   0.0834475   0.000805263   
0.502754   0.00327647   0.0833944   0.000798134   
0.502306   0.00327154   0.0833649   0.000789963   
0.502027   0.00324817   0.0833519   0.000781532   
0.502016   0.00321345   0.0833589   0.000773205   
0.501609   0.0032054   0.0833117   0.000766472   
0.501519   0.00317311   0.0831659   0.000772348   
0.501633   0.00314229   0.0830796   0.000769201   
0.501401   0.00311871   0.0830292   0.000762978   
0.501149   0.00309729   0.0830135   0.000755395   
0.501214   0.00306686   0.0832638   0.000788592   
